"","SD_code","Description","Code_group","Score"
"1",6,"Plnted.con.","",NA
"2",41,"Rhododendron","r",NA
"3",117,"Track metalled","",NA
"4",143,"Rhodo.thkt.","",NA
"5",145,"Nettle clump","",NA
"6",149,"Bracken dense","",NA
"7",213,"Road","l",NA
"8",215,"Housing","l",NA
