"","x"
"1",0.474736137329519
"2",0.570236228871532
"3",0.47631928685503
"4",0.473738606101558
"5",0.609014218863585
"6",0.47419779463537
"7",0.437598115531006
"8",0.36336792800664
"9",0.503017275874051
"10",0.527990888134222
"11",0.422153478937669
"12",0.454776534948372
"13",0.679543629567933
"14",0.670228541078536
"15",0.505235280358804
"16",0.448460408228894
"17",0.500820905339731
"18",0.527533400135273
"19",0.424059097419345
"20",0.49913892177347
"21",0.409842930050084
"22",0.458772319511637
"23",0.389189768680339
"24",0.604670565019325
"25",0.366187674864829
"26",0.502258985942141
"27",0.414062865506399
"28",0.394925706455163
"29",0.510632693921652
"30",0.501576128283413
"31",0.548102741316803
"32",0.571810709222628
"33",0.360579587501568
"34",0.383557030092733
"35",0.565572288653483
"36",0.473111271184108
"37",0.556002636697702
"38",0.49699463833554
"39",0.506400506226427
"40",0.479759848539694
"41",0.388218144558677
"42",0.538180521725983
"43",0.562347665657835
"44",0.595868162596987
"45",0.509640523690235
"46",0.587718034810192
"47",0.458335616301933
"48",0.493308997975983
"49",0.443484932234993
"50",0.518771773536614
"51",0.349593759409982
"52",0.395299996384659
"53",0.438441180138374
"54",0.44236530776488
"55",0.428633984643069
"56",0.4601621888781
"57",0.462255306898026
"58",0.545130567909214
"59",0.52672062288117
"60",0.476165539000043
"61",0.463781154557478
"62",0.603359277961726
"63",0.495076798714393
"64",0.616912120532382
"65",0.374013093261311
"66",0.470323523390669
"67",0.544116402995547
"68",0.373839261063365
"69",0.501940849546082
"70",0.479617744181887
"71",0.437976189767
"72",0.411996415851792
"73",0.444554443053421
"74",0.510978358210303
"75",0.488468955571129
"76",0.364991161719525
"77",0.479911042341934
"78",0.488301891069273
"79",0.567319045715281
"80",0.496499849626469
"81",0.512445007777229
"82",0.480717763738411
"83",0.517572453381107
"84",0.415427562122137
"85",0.535718289182176
"86",0.453867866180895
"87",0.560409130544132
"88",0.48901762371529
"89",0.468865292285964
"90",0.456923206213789
"91",0.555272871355926
"92",0.374414504847117
"93",0.546037123879262
"94",0.589139438427421
"95",0.451923150041962
"96",0.4490339017863
"97",0.446222247586118
"98",0.517755756116395
"99",0.474658789249691
"100",0.513068042193526
"101",0.425732712336452
"102",0.680094579974002
"103",0.520646713707384
